userName,content,score,at
Muhammad Adnan,"buruk, orang wajib bayar mahal tapi kualitas gak ada bedanya sm aplikasi vpn gratisan payah",1,2024-03-13 21:24:34
Kamal Udin,"Susah tersambung padahal sinyal bagus,sekarang pake yg gratisan malah bisa tersambung, langganan belum genap 1 tahun , makin merosot kualitasnya.. mohon dikaji kembali ,, kenapa susah tersambung,",1,2023-10-07 04:57:36
Good Nawaitu,"Saya pengguna lebih dari 5 tahun. Sulit sekali terhubung dlm bbrp bulan ini. Sudah set di VPN protocol (recommended). Dan akhirnya setelah mengevaluasi untuk memutuskan utk pindah ke provider VPN lain. Hard to say, but this relationships have to end.",1,2023-12-27 07:23:35
Roniv Channel,Harus log in buat akun... Ribet... yg simple sat set banyak...,1,2024-03-19 12:53:24
M.hafid Rizky,Saya sudah menghapus aplikasi ini tpi malah memotong sepihak saldo saya aplikasi buruk gak jelas,1,2024-01-22 07:25:09
OOPS!,"Pertama kali konek itu mudah , kedua dan ketiga juga mudah, namun ke empat dan seterusnya, sangat sulit untuk konek ke server , buka tutup aplikasi, mode pesawat, ganti koneksi juga sama saja , membuat kesal, salah satu vpn buruk , anda harus melakukan perbaikan!",1,2023-11-02 18:01:19
Ayu Meilinda,Knpa gw gak bisa log in? Itu ada masalahnya 1.log in pake google gak ada profil Ulun 2.padahal benar password Ulun tapi incorrect aja,1,2023-12-26 05:11:46
Good Nawaitu,Kembali coba menggunakan setelah beberapa kali selalu gagal terhubung.,5,2024-02-10 20:07:47
Ulil Amri,"Beli premium pun ga bisa terhubung, sampah",1,2024-02-28 06:54:16
Fikrie Alfisahrin,"Tolong kalau semisal habis memutuskan, buat di connect kan lagi, itu lama banget buat connected nya. Gila apa nunggu lama, kita tuh bayar ! Kalian itu yg bener dong kalau build aplikasi, percuma berbayar kalau layanannya seringnya gak bisa connect ! Saya ksh bintang 2 sampai bisa bener connect nya !",2,2020-08-09 02:17:24
Botol Kecap,"Sangat rekomendasi untuk tidak digunakan , 30 menit baru bisa connect, settingan yang tidak ada efeknya,, mending pake vpn sebelah saja, developer tidak mempedulikan kapasitas server,,",1,2022-12-31 15:22:53
Dani Hermawan,"Bintang 4 dulu ya karena ada sedikit keluhan, kenapa pas saya mau connect kok lama banget? Padahal sudah langganan premium, jaringan dan sinyal di lokasi saya sangat bagus banget tetapi pas mau Connect kok lama banget. Tolong VPN nya perbaiki supaya aku puas pake VPN ini. Ini keluhannya cuma ada di pas Connect doang agak lama, mohon di perbaiki. Bakat fitur Premium lainnya aku sangat suka 🖒😍",4,2021-05-11 21:41:36
Bapaknya Rafael,"Sudah setahun lebih saya memakai dan tidak ada kendala... buat yang susah connect gw kasih tahu yaa, itu kalau kalian beli di toko online dengan harga murah yaa sudah pasti itu akun shared atau barengan, padahal jelas di aplikasi ini cuma 6 perangkat aja yang boleh terkoneksi, jadi kalau ada perangkat lain misalnya perangkat ke 7 dst yaa pasti gk bakal connect karena kapasitas per akunnya udah penuh (cuma 6 perangkat). Kalau gk mau, yaa beli di resminya yang harganya pertahun 1 jutaan lebih",5,2023-07-20 11:14:17
Nabhan Rafli Pratama,"Can't connect on nordlynx protocol or slow responses during connecting. But TCP/UDP protocol is fast and not any problem. Eh, Bisa menggunakan bahasa Indonesia ya yaudah: Tidak dapat terkoneksi menggunakan protokol nordlynx atau ketika mengkoneksikan itu berlangsung lama. Tetapi protokol TCP/UDP lancar dan tidak ada masalah.",5,2020-12-08 12:39:46
Bhineka,"VPN tidak bisa connect ke semua server selalu ""TRY AGAIN"" terus. Sudah dicoba bolak balik ganti Protocol NotLynx, TPC dan UDP tetap tidak menyelesaikan masalah. Sudah beli mahal-mahal untuk 1 tahun tapi tidak bisa digunakan. Mubazir.....MENYESAL BERAT!",2,2023-01-06 02:29:14
Adhim Bagas,"Sangat kecewa menggunakan nordvpn di mobile. untuk connect lama sekali, berbeda ketika connect di PC malah cepet banget. mohon diperbaiki untuk aplikasi mobile nya ya. sudah saya coba hapus data, cache, bahkan install ulang tetep aja nggak bisa connect. Thanks",1,2021-01-29 23:28:41
Agus Gunawan,"Aplikasi gak jelas, main potong aja saldo dana 800k. Tanpa konfirmasi, padahal berlangganannya sudah di nonaktifkan dari 1 bulan yg lalu, tiba² saldo di potong senilai 800k.",1,2023-10-28 14:02:12
Pengguna Google,"Sip bgt lah buat tembus nonton serial favorit di salah satu aplikasi yg memang gak bisa akses klo pakai indie***e,. Tanpa iklan dan server banyak.. Memang hrs ngeluarin uang, tp sepadan kok sama hasilnya..",5,2019-12-20 00:50:51
Iqbal Apriansyah,Nyesel udah beli yang langganan tapi gak bisa connect ke server apapun udah ganti protocol tetep aja gak bisa connect tolong lah semoga cepet di benerin,1,2023-11-19 19:50:25
yuan mao lim,Saya ditulis dapat promo beli setahun diskon 50% tapi waktu saya beli malah bayar full. Mau saat komplen ke nord malah disuruh ke google play di google play gabisa di complain bingung jadinya,1,2024-02-01 10:40:34
irwans 711,Aplikasi gagal !! Saya menunggu hingga beberapa menit tidak juga bisa connect padahal menggunakan Nord premium yg berbayar. Saat saya coba dengan VPN lain yg gratisan malah langsung terkoneksi dalam beberapa detik saja.,2,2021-01-28 17:11:23
Ahmad Rafiansyah Irawan,"Harganya mahal, hanya untuk sebuah vpn...yg tidak terlalu sering terpakai. Internet tanpa vpn juga stabil, malahan kalau pake vpn malah tidak stabil....dengan harga yang sangat mahal mungkin pengguna akan mencari penyedia vpn lain dengan harga yang relatif ramah...",1,2022-06-05 05:03:31
Marvin Leonardo,Sudah beli premium tapi tidak bisa tersambung. Sudah ganti protocol juga tidak bisa tersambung. Vpn terburuk lebih buruk dari vpn gratisan. Tidak bisa di pake sama sekali sia2 saya beli premium,1,2023-02-28 18:31:46
Clicks Aja,Bagus aplikasi nya. Terkadang tembus iklan lokal walaupun sedang aktif sever yang sedang digunakan hmm.. mungkin jaringan saya atau jaringan sedang penuh.,4,2022-08-21 18:21:32
