userName,content,score,at
Saleema Jo,"Did exactly what I needed it to do!!!! Personal time is back to normal vs all the limitations (if you know you know). The only thing I would say is that it lags my device in both operations and internet. However, I am on the free version and am guessing that there's a better connection after upgrading. I'm very much considering making the purchase. Thank you so much for providing a free version of this app Turbo!!!!",5,2024-03-01 18:34:40
Saul Delgado,This has been a really really great service. It's so great one time several years they provided me with internet service even while my phone 🤳 was cut off and the bill was overdue. It was a magical experience really. Only time it ever disconnected was when my battery died. Every time it died somehow I'll still able to reconnect. but if it kept dying Then I only had myself to blame. I would give 6 stars if possible.,5,2024-03-15 13:24:57
Raven Elise,"The free version works well for me. The one ad is usually basically nothing; very rarely i get one that I have to sit through for 30 seconds or that is annoying to get out of, but the frequency of those is NOTHING compared to other free apps. I'm in a rural area so wifi isn't the fastest, but it still runs pretty quickly with this VPN as opposed to others. What I don't like is that it kicks me off sometimes without me realizing it for a while. We all love chasing rabbits, right?",5,2024-02-15 03:16:12
JJ Castro,"Customer service has really impressed me with their attentiveness and commitment to solve all and any issue that comes up. With my yearly subscription I don't get any ads at all. I decided to go ahead and read what is done with my data. Update: I have been reassured of the no-log policy . So, the app does NOT collect my data. The app keeps disconnecting, even though I've followed instructions on how to have it always on.",5,2024-02-15 05:07:53
chevelle olivarez,"For anyone writing a review about the long ads, you realize you can exit the app as soon as it's connected and just swipe up and clear - and it'll still be connected without you having watched it - same way with disconnecting, it pops up an ad and i just close and reopen the app and then ad isn't there. Been using this app since 2019.",5,2024-02-14 08:15:30
Keith Harris,"Paid for the subscription, speed increased slightly, however i needed to change payment methods and their 'support' is an endless circle of automated responses and no assistance whatsoever. If you pay from anywhere other than Google, youll have to close the bank account in order to change/stop payments. They will continue to charge you and ignore your requests. I have 20 emails to and from them, all automated, none contain assistance.",1,2024-03-11 12:35:49
Sarah Parker,"I signed up for a trial, as OFFERED through the Play store. It didn't give me the trial, but automatically charged me for a full year! If already had trial, should have been informed so!! As soon as I saw this charge(immediately after), I cancelled the subscription&requested a refund, explaining what happened. I didn't open the app or use it at all(still haven't to this day). My refund request was denied&told to contact the app developer. I did so, and they told me it was a Play Store issue.",1,2024-02-29 01:28:32
Danielle “Keela” Brickhouse,"I have been using this VPN app for awhile. I find that I generally have issues with this app running in the background. I have changed all my system settings to prioritize this app over others and still keep having issues with it shutting down instead of running. I have found that the most secure location for me personally has been in Germany, though it looks like with this latest update, has been taken down leaving only the one you have to pay for. This app is useless if you don't buy services.",2,2023-11-03 02:48:55
mike mike,Ive updated the app and my opinion hasnt changed. The extremely long commercials is unbelievable. Enough so that i can no longer tolerate using this app... DO NOT INSTALL THIS APP The length of the commercials is ridiculous half the time you cant even click the X at the end to close it. Furthermore the servers are super slow and lag down your phone most of the time.,1,2023-12-21 05:22:28
S H,"Excellent.One of the most fair VPN applications out there. I did rate it 5 stars, which they deserve...I would like to see more connection options concerning security. The tunneling is fair but it should include system applications with an ability to analyze the APK's , SHA checks for authenticity in the sys. Plus a built in scanning procedure, to check against network changes on the ISP mobile side for security enhancing. Good luck guys & gals, excellent job.",5,2023-12-21 13:45:34
